path,extension,bytes,width,height,alpha_min,alpha_max,sha256
02_enemies/core_scribble_enemy/attack_8f/source/core-enemy-attack-8f-imagegen-original-sheet.png,.png,1059959,1774,887,0,255,c30f0eaa574f0fa9fcdf16ddc71e66564bc8e123f8183291559a5cc60bb2b47f
02_enemies/core_scribble_enemy/attack_8f/transparent/core-enemy-attack-8f-sheet.png,.png,1060437,2048,1024,0,255,1f4cbf905f1e0a9ef9bc791d2704e2ed6d4d5ab723376b38d4de254cc241bfff
02_enemies/core_scribble_enemy/attack_8f/transparent/core-enemy-attack-8f.gif,.gif,267644,512,512,255,255,2f836896dfe23f95a1d09c21ec629803477b5bde4ac7a2391859d19931846611
02_enemies/core_scribble_enemy/attack_8f/transparent/frames/core-enemy-attack-8f-frame-01.png,.png,150105,512,512,0,255,ee70e19830356774769172719a4e1f8b685c07869133022b4508b87a14749b92
02_enemies/core_scribble_enemy/attack_8f/transparent/frames/core-enemy-attack-8f-frame-02.png,.png,111338,512,512,0,255,185017f16158f30b12ec304544acf9e3b42a48bf23dd0dd7c3dacb5a84aa4643
02_enemies/core_scribble_enemy/attack_8f/transparent/frames/core-enemy-attack-8f-frame-03.png,.png,128851,512,512,0,255,0f5d2d4a8f1904125debe7582aef8e615ca5c2d268fff730ef374900824faa72
02_enemies/core_scribble_enemy/attack_8f/transparent/frames/core-enemy-attack-8f-frame-04.png,.png,127337,512,512,0,255,04f6f755e03c6477cf43c2fe2ce3fc4a3756b0c3fab4fb43c157452da84eef24
02_enemies/core_scribble_enemy/attack_8f/transparent/frames/core-enemy-attack-8f-frame-05.png,.png,149639,512,512,0,255,ef7dd69aa94f91656381d7c73867eafc6046944e354b0230514f14b9afd3d8d1
02_enemies/core_scribble_enemy/attack_8f/transparent/frames/core-enemy-attack-8f-frame-06.png,.png,135210,512,512,0,255,754b5ad4dedd230b4b8f9deaa1380f28aa62a67e720e40c79d10fb6d2ea2517f
02_enemies/core_scribble_enemy/attack_8f/transparent/frames/core-enemy-attack-8f-frame-07.png,.png,131363,512,512,0,255,d4f83ab7fd96a0a5de5b1ddf610645d4f9906931cea9200f7a2c4fded3185782
02_enemies/core_scribble_enemy/attack_8f/transparent/frames/core-enemy-attack-8f-frame-08.png,.png,134274,512,512,0,255,9ef90185a7a523004e56ea987aed0f60997ab32939d8d6eacbab530fc54533ff
02_enemies/core_scribble_enemy/design_states/final-enemy-01.png,.png,933667,1123,1065,0,255,ab2ee1aef724ee0858f34ec57a4ed2141b6ff40790a4ffa62e0cb5bfc58326d6
02_enemies/core_scribble_enemy/design_states/final-enemy-02.png,.png,195747,287,358,0,255,42fe4e336fd1ff6f1e27774eac6320218fc94af14be495643f88d639eaf7935b
02_enemies/core_scribble_enemy/design_states/final-enemy-03.png,.png,281374,384,358,0,255,461de62486b91a80a1cd4ac680be9a5b4017904c9ee64c29b8d47609f4552b03
02_enemies/core_scribble_enemy/design_states/final-enemy-04.png,.png,415935,546,415,0,255,65feea4b9550948af21758f267a6f441c5cb54bd73e8e9df9846b061bde85d15
02_enemies/core_scribble_enemy/design_states/final-enemy-05.png,.png,87942,204,217,0,255,614caf8732069b62b432221163feb70f7a639b891478733e98eaf20ea31b4a7d
02_enemies/core_scribble_enemy/design_states/final-enemy-06.png,.png,114360,280,204,0,255,033bc5a47ca3c3348d8be4ea06a560334be5e2dcb6c26691bbbf6e019705673d
02_enemies/core_scribble_enemy/design_states/final-enemy-07.png,.png,102162,250,241,0,255,d8d33061aa444174782a5ebdd1c697e52d3b5f2e55ec969237b1d09952b90d85
02_enemies/core_scribble_enemy/design_states/final-enemy-08.png,.png,91186,233,251,0,255,79bb1683dea3250991209764fc1703a96caac83ee504008e714434590ca71c88
02_enemies/core_scribble_enemy/design_states/final-enemy-09.png,.png,42198,143,164,0,255,86da75e59e5434c9f21819447763c611effdb3bb8c49858b6fef14aab3a4e40f
02_enemies/core_scribble_enemy/design_states/final-enemy-10.png,.png,68171,170,206,0,255,8164c4d420e1af7983e4462d7524bac77c5a89cb6945ab94d01fd7f30360d62f
02_enemies/core_scribble_enemy/design_states/final-enemy-11.png,.png,146305,226,284,0,255,58ab1d7e04c9c5b3bfe4964e54857a77c0e9dc3fdada42232e6a863f03795f47
02_enemies/core_scribble_enemy/dissolve_8f/metadata.json,.json,294,,,,,af5d9074a0edc56ae7857e69081ad4750cc09ee1ad18d04674d09920e5e23e93
02_enemies/core_scribble_enemy/dissolve_8f/opaque_navy/core-enemy-dissolve-8f-sheet.png,.png,899341,2048,1024,255,255,492b6c2bf62892d69ef54aaa0ecb7fa6b8e74a0ef821ae5eb5ceb9de9833b071
02_enemies/core_scribble_enemy/dissolve_8f/opaque_navy/core-enemy-dissolve-8f.gif,.gif,468501,512,512,255,255,eca16bd0f80595f98d183c95b49c5bba5563a89461276229858cd1ec0a491b1d
